gc_id,segment,model,n_horizons,mape_median,mape_mean,mape_p95,mae,rmse,bias,bias_pct,best_horizon
244833,GPU,XGBoost,4,5.46,5.24,8.29,1.9708,2.2198,1.6842,4.43,T+4
244833,GPU,LSTM,4,57.81,55.97,65.94,20.8516,21.0042,20.8516,55.97,T+2
244834,GPU,LightGBM,4,13.26,18.81,41.39,154.5835,197.4185,139.498,17.36,T+2
244834,GPU,XGBoost,4,19.16,27.77,57.7,231.5283,280.3325,231.5283,27.77,T+1
244834,GPU,LSTM,4,93.44,93.38,94.38,844.85,855.3726,-844.85,-93.38,T+4
244842,GPU,XGBoost,4,53.91,50.05,80.91,14.1166,17.1196,-0.5029,25.51,T+2
244842,GPU,LightGBM,4,54.04,45.43,71.06,13.3081,17.1766,-1.8605,19.93,T+2
244842,GPU,LSTM,4,135.91,136.16,255.32,26.9585,30.8204,25.556,133.8,T+1
244844,GPU,LightGBM,4,7.69,15.02,35.27,10.6197,13.4826,3.1811,7.33,T+4
244844,GPU,XGBoost,4,14.66,21.8,49.64,14.726,18.7883,9.249,16.13,T+1
244844,GPU,LSTM,4,24.23,23.78,40.42,21.7835,27.7993,-21.7835,-23.78,T+3
244846,GPU,LightGBM,4,5.36,5.53,10.83,4.7042,6.0432,-4.6812,-5.5,T+4
244846,GPU,XGBoost,4,8.99,9.14,13.22,7.6894,8.3009,-7.6894,-9.14,T+3
244846,GPU,LSTM,4,28.07,28.2,30.73,23.516,23.6636,-23.516,-28.21,T+4
244847,GPU,LightGBM,4,7.94,7.95,13.98,9.1774,11.4689,-7.9826,-6.87,T+4
244847,GPU,XGBoost,4,10.7,9.37,14.44,10.9007,12.4498,-10.9007,-9.37,T+1
244847,GPU,LSTM,4,49.34,49.28,50.76,56.7263,56.8112,-56.7263,-49.28,T+1
244850,GPU,LightGBM,4,4.36,4.08,6.58,3.4653,3.9853,2.229,2.72,T+3
244850,GPU,XGBoost,4,11.77,12.38,22.66,10.3477,12.6392,10.3477,12.38,T+2
244850,GPU,LSTM,4,30.37,31.41,35.69,26.8498,27.1436,-26.8498,-31.41,T+3
244851,GPU,XGBoost,4,8.18,9.18,19.08,16.6964,21.1539,3.7246,3.19,T+4
244851,GPU,LightGBM,4,8.3,8.62,16.24,15.7044,18.5476,5.1751,3.74,T+4
244851,GPU,LSTM,4,70.71,69.77,73.25,134.4457,136.0437,-134.4457,-69.77,T+3
244854,GPU,LightGBM,4,46.37,51.43,76.03,108.422,115.0063,108.422,51.43,T+4
244854,GPU,XGBoost,4,54.26,61.01,81.94,128.1836,131.8855,128.1836,61.01,T+2
244854,GPU,LSTM,4,73.25,73.06,73.66,153.6913,153.7591,-153.6913,-73.07,T+4
258731,GPU,LightGBM,4,9.62,10.71,18.74,50.902,60.2264,-22.0067,-3.73,T+2
258731,GPU,XGBoost,4,12.62,12.13,17.82,58.0524,63.6237,-30.0658,-5.37,T+2
258731,GPU,LSTM,4,88.15,87.82,88.79,417.0048,418.8126,-417.0048,-87.82,T+1
258740,GPU,LightGBM,4,1.98,1.89,3.32,12.7661,15.3961,-12.133,-1.79,T+4
258740,GPU,XGBoost,4,3.0,4.26,8.7,27.8971,34.327,-27.8971,-4.26,T+1
258740,GPU,LSTM,4,91.2,91.24,91.85,616.6636,617.9363,-616.6636,-91.24,T+4
258753,GPU,LightGBM,4,5.64,4.71,7.35,54.1433,63.8811,-53.8376,-4.69,T+4
258753,GPU,XGBoost,4,7.9,8.61,13.11,101.2269,111.2682,-101.2269,-8.6,T+1
258753,GPU,LSTM,4,94.96,94.97,95.3,1094.5138,1096.2682,-1094.5138,-94.97,T+2
258783,GPU,XGBoost,4,6.3,6.46,8.46,95.3628,98.3027,-6.2495,-0.16,T+2
258783,GPU,LightGBM,4,16.47,19.75,41.64,291.192,373.8836,282.8697,19.16,T+4
258783,GPU,LSTM,4,96.04,96.07,96.3,1421.9484,1423.6457,-1421.9484,-96.07,T+4
258789,GPU,LightGBM,4,18.29,19.35,31.55,13.8611,16.3747,-13.8611,-19.35,T+2
258789,GPU,LSTM,4,18.96,16.8,27.27,12.0426,14.7206,-7.7728,-8.42,T+1
258789,GPU,XGBoost,4,20.71,20.06,29.24,14.0909,15.9028,-14.0909,-20.06,T+2
258808,GPU,XGBoost,4,12.79,14.02,24.44,7.1674,8.4285,-7.1674,-14.02,T+2
258808,GPU,LSTM,4,14.03,16.36,23.2,8.1633,8.4138,8.1633,16.36,T+1
258808,GPU,LightGBM,4,15.16,14.62,26.43,7.4133,9.103,-7.2565,-14.32,T+1
270532,GPU,LightGBM,4,2.61,5.1,13.34,0.9837,1.4896,0.9837,5.1,T+4
270532,GPU,XGBoost,4,7.84,6.99,10.14,1.3933,1.5297,0.2124,1.33,T+4
